Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mKBB,mQS,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Tyler Kinley","COL","RP",574.72998046875,64,-4.079234521481233,-4.303244212080027,-2.7746848030970455,-2.5186492028152965,-2.3962344867203584,1.3546748235366448,-14.717372402657316,4.45688385552075,-9.260488547136568,"18297"
"Colin Selby","PIT","RP",999,46,-0.831888402811386,-3.3617241091277,-3.445817236844005,-3.715143105344678,-2.3962344867203584,-0.9797286497706513,-14.730535990618781,4.45688385552075,-9.27365213509803,"24986"
"Matt Waldron","SDP","SP",735.3300170898438,82.3035,-5.3089619702045585,-4.938629479733545,-2.8773562677630933,-3.545896224288401,-0.7334328308617606,-1.6655512697328227,-19.069828042584184,8.778744096319503,-9.291083946264678,"25550"
"Jeremiah Estrada","SDP","RP",999,40,-1.3525823378048711,-2.6405565664975525,-3.597444997877536,-3.25569925913482,-2.3962344867203584,-1.5577879133463806,-14.80030556138152,4.45688385552075,-9.343421705860766,"22210"
"Janson Junk","MIL","RP",999,46.1727,-3.2778254564335385,-2.636500875885596,-4.125461315495746,-1.3491360999695678,-1.916363358130567,-1.5590695185829273,-14.864356624497946,4.45688385552075,-9.407472768977197,"23301"
"Jose Cuas","CHC","RP",999,62,-1.6156102990788574,-4.215701783371707,-2.845992673553673,-4.446819499468262,-2.3962344867203584,0.6441224449875219,-14.876236297205336,4.45688385552075,-9.419352441684586,"17701"
"Phil Maton",,"RP",999,67,-2.234541587446944,-3.0943197610382267,-2.7166945987935787,-2.772607503264797,-2.3962344867203584,-1.6655512697328227,-14.879949206996729,4.45688385552075,-9.42306535147598,"18064"
"Ian Gibaut","CIN","RP",743.3300170898438,62,-2.7941855252509455,-4.080472475321382,-2.905479971537572,-3.3409347664146356,-2.3962344867203584,0.6362703508080226,-14.881036874436871,4.45688385552075,-9.42415301891612,"17871"
"Shane Drohan","CHW","RP",999,56,-2.0241769554382625,-3.3001323402944114,-3.3243148450169744,-3.419116129974295,-2.3962344867203584,-0.44721165724184747,-14.91118641468615,4.45688385552075,-9.454302559165399,"sa3014447"
"Zachary Brzykcy","WSN","RP",999,36,-1.5621763541388722,-2.6519247707516453,-3.970787774392896,-2.7884733504631347,-2.3962344867203584,-1.555784274111451,-14.92538101057836,4.45688385552075,-9.468497155057609,"sa3014984"
"Peter Strzelecki","ARI","RP",999,38,-1.9272043056131618,-2.7074973297113716,-3.990127881266669,-2.4195419753751493,-2.3962344867203584,-1.5546831746847194,-14.995289153371429,4.45688385552075,-9.53840529785068,"21367"
"Marc Church","TEX","RP",999,52,-2.083708045774231,-3.317647637551572,-3.210715764931076,-3.1673178029764473,-2.3962344867203584,-0.8720375301373293,-15.047661268091014,4.45688385552075,-9.590777412570265,"sa3015080"
"John Curtiss",,"RP",999,48,-2.3065942016409746,-2.76580385861396,-3.763762445512041,-2.1743084071795695,-2.3962344867203584,-1.6655512697328227,-15.07225466939973,4.45688385552075,-9.615370813878979,"16128"
"Rich Hill",,"SP",999,85.799,-4.900711801245037,-5.52132386754976,-2.412520117606859,-4.17170734881679,-0.755111269022364,-1.6655512697328227,-19.42692567397364,8.778744096319503,-9.648181577654128,"4806"
"Jordan Balazovic","MIN","RP",999,48,-1.6150609726937633,-3.420900159634112,-3.638023527070151,-3.106888954714378,-2.3962344867203584,-0.947887024679904,-15.124995125512669,4.45688385552075,-9.66811126999192,"21866"
"Amir Garrett",,"RP",999,41,-0.7560086782926946,-3.06767513549599,-3.522478899936867,-3.7429315943863433,-2.3962344867203584,-1.6655512697328227,-15.15088006456508,4.45688385552075,-9.693996209044327,"14375"
"Dominic Leone",,"RP",999,49,-1.8721655484863953,-3.026921269254391,-3.407080904711822,-2.7893494926973164,-2.3962344867203584,-1.6655512697328227,-15.157302971603105,4.45688385552075,-9.700419116082356,"13763"
"Mason Thompson","WSN","RP",999,46,-1.5847839078013446,-3.3083104999488158,-3.8426156878664526,-3.0373632991748645,-2.3962344867203584,-0.9922740025965726,-15.16158188410841,4.45688385552075,-9.704698028587659,"21850"
"Gus Varland","LAD","RP",999,38,-1.882775063732921,-2.876110817300211,-3.9961977181596433,-2.518383599548761,-2.3962344867203584,-1.5452064959395155,-15.214908181401409,4.45688385552075,-9.75802432588066,"24737"
"Keegan Thompson","CHC","RP",999,48,-1.9994574109893644,-3.2722810639967093,-3.50358741100009,-3.1069802953875003,-2.3962344867203584,-0.9370565469815263,-15.215597215075551,4.45688385552075,-9.758713359554802,"19795"
"Justin Lawrence","COL","RP",434.8699951171875,66,-2.835145854688136,-5.649334363139306,-2.652673231557224,-4.661308678606985,-2.3962344867203584,2.9622981049282457,-15.23239850978376,4.45688385552075,-9.775514654263011,"17639"
"Alex Young","CIN","RP",999,54,-2.228272374153337,-3.6306097546389746,-3.42533814070319,-2.7048658284604774,-2.3962344867203584,-0.8973267200938426,-15.282647304770181,4.45688385552075,-9.82576344924943,"18333"
"Paul Blackburn","OAK","SP",572.7999877929688,146.759,-5.23510652986698,-7.7242410365065055,-0.3777853228813014,-5.624127834295458,1.016924166422709,-1.6655512697328227,-19.60988782686036,8.778744096319503,-9.831143730540854,"14739"
"Caleb Kilian","CHC","RP",999,61.1355,-2.4233029971250244,-3.6023119064550255,-3.438703203028712,-2.6628847794864137,-1.6428728820034335,-1.5517228449745595,-15.321798613073168,4.45688385552075,-9.864914757552418,"26213"
"Derek Law",,"RP",999,50,-1.6190733232620849,-3.207177084245168,-3.6174150788756028,-2.8189376121334924,-2.3962344867203584,-1.6655512697328227,-15.324388854969529,4.45688385552075,-9.867504999448782,"13133"
"Jonathan Hernandez","TEX","RP",999,61,-1.315210546524808,-4.620596935259993,-2.8759584098185416,-4.735887922399793,-2.3962344867203584,0.6192845356942309,-15.324603765029263,4.45688385552075,-9.867719909508512,"17464"
"Chase Silseth","LAA","SP",336.5299987792969,120.229,-3.9254501303159905,-7.18726667366855,-0.5458758481582136,-6.6434654947986544,0.14503790001804545,-1.5470115755559117,-19.70403182247928,8.778744096319503,-9.925287726159777,"30074"
