Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,PlayerId
"Jon Gray","TEX","SP",244.3699951171875,167.149,1.2973471120440339,-1.5017901580503095,-4.771897450327388,-5.031662770427333,0.9903601433087473,-9.017643123452249,9.9078506423059,1.89020751885365,"14916"
"Craig Kimbrel","CHW","RP",143.10000610351562,59.5266,-4.924555788345635,1.0077227011871126,0.9650189216602081,0.8799075265263411,-3.4487805664515943,-5.520687205423567,6.126448073082172,1.6057608676586062,"6655"
"Cristian Javier","HOU","SP",309.4200134277344,102.651,-3.0614426862724238,-1.4765273784721409,-1.8889462024003882,-1.8012310574273207,-1.368692506298704,-9.596839830870978,9.9078506423059,1.311010811434923,"17606"
"Anthony DeSclafani","SFG","SP",210.91000366210938,162.033,1.038463940209546,-1.5017901580503095,-5.209554712239629,-3.6852344064971905,-0.2657340990295263,-9.623849435607113,9.9078506423059,1.2840012066987891,"13050"
"Marcus Stroman","CHC","SP",182.19000244140625,175.447,1.003531112317152,-1.5017901580503095,-3.6294078334814013,-5.345263776529018,-0.23287653509541797,-9.705807190838996,9.9078506423059,1.2020434514669038,"13431"
"Tyler Mahle","CIN","SP",128.49000549316406,166.48,1.1398215581078055,-1.5017901580503095,-6.762162043059921,-4.699422020741094,2.0801878265649605,-9.743364837178557,9.9078506423059,1.1644858051273426,"16358"
"Scott Barlow","KCR","RP",172.7899932861328,67.9365,-4.584843809755043,3.9245918374713664,0.4931155526586033,-1.7527051959142856,-4.115721598771663,-6.035563214311023,6.126448073082172,1.0908848587711495,"14993"
"Jonathan Loaisiga","NYY","RP",392.5799865722656,66.7364,-3.2963899412941733,0.09901816190062422,2.107420557030133,-0.2889823532317177,-4.747514497487039,-6.126448073082172,6.126448073082172,1,"19753"
"Luis Patino","TBR","SP",293.1600036621094,119.729,-1.4964755399266183,-1.5017901580503095,-2.9564950235774643,-2.7409638591763277,-1.2121260615751808,-9.9078506423059,9.9078506423059,1,"22815"
"Aaron Ashby","MIL","SP",263.4800109863281,78.6664,-3.2078638298366524,-1.3869277501138413,0.01780512856643155,-2.072043400846734,-3.3174566381582373,-9.966486490389032,9.9078506423059,0.9413641519168686,"23550"
